age,level
4.812,0.60
5.459,0.50
5.601,0.90
5.850,0.60
5.889,0.80
5.896,0.70
5.994,1.10
6.074,1.00
6.086,0.90
6.113,0.60
6.147,1.00
6.170,0.70
6.222,1.30
6.242,1.00
6.305,0.80
6.427,0.90
6.476,0.90
6.488,0.80
6.538,0.80
6.582,0.80
6.625,0.60
5.316,0.40
6.094,0.70
6.136,0.30
6.523,0.90
0.356,0.20
3.193,0.60
5.128,0.50
5.412,0.70
5.418,1.00
5.973,0.90
6.068,1.20
6.703,1.30
0.360,0.20
3.260,0.60
5.102,0.50
5.268,0.40
5.481,1.00
5.498,0.70
5.942,0.90
6.034,0.70
6.079,1.20
6.103,0.30
6.519,0.90
6.663,1.30
1.059,0.30
1.193,0.60
3.894,1.00
5.072,1.20
5.083,0.70
1.156,0.50
5.767,0.70
6.646,0.90
6.026,1.10
6.046,0.60
6.583,1.00
6.741,1.10
4.367,0.60
4.386,0.40
5.789,0.80
5.850,0.80
6.380,0.20
6.447,0.30
5.067,0.80
5.597,0.60
6.028,0.90
4.274,0.60
5.251,1.20
5.889,0.80
6.558,1.00
5.146,0.10
5.683,0.50
6.489,0.30
6.376,1.00
6.602,0.80
3.348,1.20
3.393,1.40
5.458,1.00
5.237,0.50
6.120,0.50
6.658,0.70
6.701,0.30
5.334,1.00
5.936,0.80
6.063,0.70
6.910,1.00
12.200,-53.00
3.324,0.70
5.691,1.10
5.924,1.20
0.868,0.40
1.947,0.60
3.196,1.40
4.472,1.90
6.380,2.30
5.808,1.20
16.800,-110.00
7.782,-4.20
8.163,-7.10
8.300,-8.30
8.465,-11.90
8.495,-14.90
8.516,-10.50
8.763,-13.80
9.132,-19.60
9.513,-21.50
9.561,-23.60
9.565,-26.90
9.843,-30.40
9.901,-28.10
9.950,-29.70
10.035,-33.20
10.199,-41.40
10.228,-32.70
10.325,-36.80
10.492,-38.50
10.504,-41.00
10.630,-40.10
10.776,-45.20
11.132,-47.40
11.406,-49.30
12.280,-53.80
12.628,-61.80
12.651,-54.30
12.998,-63.80
31.529,-70.30
31.997,-76.80
32.262,-70.60
32.600,-68.70
34.100,-63.00
34.800,-63.40
11.670,-56.50
12.970,-64.20
13.080,-64.40
10.902,-49.30
15.410,-104.80
14.350,-91.60
14.350,-95.30
14.720,-93.20
14.730,-95.30
14.750,-95.20
14.760,-95.00
